latitude,longitude,freeboard,segment_length,Thickness (m)
-71.50441827,-40.01109675,0.22,26.886988,0.86
-71.50453456,-40.01114394,0.21,24.056343,0.83
-71.50461662,-40.01117724,0.2,20.532995,0.79
-71.50469308,-40.01120829,0.2,19.855991,0.79
-71.50479144,-40.0112483,0.2,20.571259,0.79
-71.50488181,-40.01128507,0.21,20.572115,0.83
-71.50496637,-40.01131947,0.22,23.410816,0.86
-71.50509438,-40.01137154,0.22,25.540964,0.86
-71.50519158,-40.01141108,0.22,21.98813,0.86
-71.50528003,-40.01144704,0.24,21.274725,0.94
-71.50536669,-40.01148226,0.26,19.853205,1.01
-71.50545649,-40.01151875,0.25,21.263292,0.97
-71.50556278,-40.01156193,0.22,22.663673,0.86
-71.50566007,-40.0116014,0.22,25.479134,0.86
-71.50579801,-40.01165736,0.22,27.582905,0.86
-71.50590853,-40.01170216,0.24,26.139832,0.94
-71.50601794,-40.01174642,0.24,23.994883,0.94
-71.50611998,-40.01178764,0.27,23.270695,1.04
-71.50622341,-40.01182941,0.3,23.955536,1.15
-71.50632706,-40.01187124,0.3,23.938362,1.15
-71.50643267,-40.01191385,0.28,21.812315,1.08
-71.50651208,-40.0119459,0.3,19.689034,1.15
-71.50659749,-40.01198036,0.34,20.381996,1.3
-71.50669896,-40.0120213,0.33,21.079899,1.26
-71.50678058,-40.01205423,0.24,18.958761,0.94
-71.50684712,-40.01208107,0.21,17.548603,0.83
-71.50692533,-40.01211266,0.2,17.548088,0.79
-71.50700438,-40.0121446,0.29,18.952412,1.12
-71.50708166,-40.01217583,0.34,17.55909,1.3
-71.50715893,-40.01220707,0.63,18.247644,2.35
-71.5072382,-40.01223914,0.64,17.523159,2.38
-71.50730958,-40.01226805,0.62,16.824749,2.31
-71.50737453,-40.01229434,0.53,14.025308,1.99
-71.5074333,-40.01231814,0.37,14.032199,1.41
-71.50749729,-40.01234407,0.28,14.039221,1.08
-71.5075527,-40.01236652,0.25,13.336091,0.97
-71.50761127,-40.01239028,0.25,14.047552,0.97
-71.50767811,-40.0124174,0.23,15.463299,0.9
-71.50775514,-40.0124487,0.26,16.173817,1.01
-71.50782475,-40.01247697,0.24,16.19133,0.94
-71.50788674,-40.01250214,0.2,14.7920265,0.79
-71.5079539,-40.01252944,0.17,15.508678,0.68
-71.50802133,-40.01255686,0.17,15.526367,0.68
-71.5080878,-40.0125839,0.16,14.123505,0.65
-71.50814939,-40.01260896,0.19,14.84178,0.75
-71.50821154,-40.01263428,0.24,14.861007,0.94
-71.50827982,-40.0126621,0.3,15.576157,1.15
-71.50834313,-40.0126879,0.3,14.152761,1.15
-71.50839497,-40.01270902,0.25,12.047474,0.97
-71.50844735,-40.01273036,0.22,12.803294,0.86
-71.50850263,-40.01275292,0.22,12.81426,0.86
-71.50856366,-40.01277785,0.3,12.824014,1.15
-71.50861588,-40.01279918,0.42,12.116662,1.59
-71.50866787,-40.01282041,0.55,12.831234,2.06
-71.50873346,-40.01284719,0.51,14.261205,1.91
-71.50880055,-40.01287458,0.45,14.269274,1.7
-71.50885644,-40.01289743,0.54,13.557659,2.02
-71.50891132,-40.01291987,0.53,13.559152,1.99
-71.50897529,-40.01294601,0.48,14.990619,1.81
-71.50903846,-40.01297184,0.4,13.563946,1.52
-71.50908946,-40.01299272,0.49,13.556396,1.84
-71.50915395,-40.0130191,0.51,14.266539,1.91
-71.50921233,-40.01304297,0.4,13.5517235,1.52
-71.5092639,-40.01306407,0.35,12.834641,1.33
-71.50931922,-40.01308672,0.33,12.116314,1.26
-71.5093718,-40.01310827,0.35,12.118135,1.33
-71.50942676,-40.01313079,0.32,13.53823,1.23
-71.50948852,-40.01315613,0.37,14.944802,1.41
-71.5095542,-40.01318309,0.65,14.2269125,2.42
-71.50960974,-40.01320591,0.89,12.816922,3.29
-71.50965879,-40.01322606,0.96,12.089801,3.54
-71.50984788,-40.01330352,0.18,13.442102,0.72
-71.50989543,-40.01332304,0.29,12.731539,1.12
-71.50995038,-40.0133456,0.19,12.019839,0.75
-71.51000001,-40.013366,0.52,11.305516,1.95
-71.51004418,-40.01338416,0.21,10.595047,0.83
-71.51009006,-40.01340304,0.19,12.000206,0.75
-71.51014977,-40.01342762,0.23,13.408438,0.9
-71.51021321,-40.01345375,0.25,14.106141,0.97
-71.51026589,-40.01347549,0.25,12.695514,0.97
-71.51032137,-40.01349841,0.3,13.400139,1.15
-71.51038624,-40.01352525,0.43,14.803263,1.62
-71.5104562,-40.01355423,0.54,15.50113,2.02
-71.51051734,-40.01357955,0.44,13.388341,1.66
-71.51057186,-40.01360214,0.37,14.0905,1.41
-71.51064307,-40.01363171,0.32,14.09363,1.23
-71.51069225,-40.01365215,0.29,11.978123,1.12
-71.51073492,-40.01366991,0.32,11.273738,1.23
-71.51079131,-40.01369339,0.38,12.688206,1.44
-71.51085478,-40.01371982,0.46,13.381014,1.73
-71.51091052,-40.01374302,0.34,14.090906,1.3
-71.51097569,-40.01377023,0.23,13.409185,0.9
